0,1,2
1700000,2017,2017-03-23
60000000,2017,2017-03-21
18000000,2017,2017-03-21
2100000,2017,2017-03-21
1800000,2017,2017-03-21
2200000,2017,2017-03-07
5600000,2017,2017-03-07
120000000,2017,2017-03-07
820000000,2017,2017-03-07
3100000,2017,2017-03-02
2700000,2017,2017-03-02
165000000,2017,2017-02-22
52000000,2017,2017-02-22
19500000,2017,2017-02-22
1400000,2017,2017-02-21
3800000,2017,2017-02-14
2100000,2017,2017-02-14
1900000,2017,2017-02-07
2300000,2017,2017-01-31
4150000,2017,2017-01-25
2600000,2017,2017-01-25
1700000,2017,2017-01-24
2200000,2017,2017-01-24
1300000,2017,2017-01-18
1500000,2017,2017-01-03
10500000,2017,2017-01-03
7400000,2016,2016-11-22
7000000,2016,2016-11-08
1400000,2016,2016-11-08
260000,2016,2016-11-01
1400000,2016,2016-10-26
2500000,2016,2016-10-25
12000000,2016,2016-10-18
20000000,2016,2016-10-18
12000000,2016,2016-10-18
1700000,2016,2016-10-04
80000000,2016,2016-09-28
28000000,2016,2016-09-28
1500000,2016,2016-09-27
45000000,2016,2016-09-27
2000000,2016,2016-08-02
1600000,2016,2016-08-02
1800000,2016,2016-08-02
2000000,2016,2016-07-20
1700000,2016,2016-07-05
10000000,2016,2016-05-31
15000000,2016,2016-05-31
7000000,2016,2016-05-24
1500000,2016,2016-05-18
18000000,2016,2016-05-18
9000000,2016,2016-05-18
3800000,2016,2016-04-27
13000000,2016,2016-04-27
9000000,2016,2016-04-27
72000000,2016,2016-04-26
17000000,2016,2016-04-26
1800000,2016,2016-04-20
7900000,2016,2016-03-29
11500000,2016,2016-03-29
1000000,2016,2016-03-29
780000000,2016,2016-03-16
1700000000,2016,2016-03-09
15000000,2016,2016-03-02
8000000,2016,2016-02-02
4300000,2016,2016-01-27
2400000,2016,2016-01-27
2000000,2016,2016-01-20
1500000,2016,2016-01-20
1600000,2016,2016-01-12
9000000,2015,2015-12-30
19500000,2015,2015-12-30
1000000,2015,2015-12-22
1600000,2015,2015-12-21
6400000,2015,2015-12-17
1600000,2015,2015-12-17
2100000,2015,2015-12-17
1700000,2015,2015-12-17
10000000,2015,2015-12-17
50000000,2015,2015-12-16
880000000,2015,2015-12-16
13500000,2015,2015-12-16
25000000,2015,2015-12-16
450000000,2015,2015-12-15
55000000,2015,2015-12-15
578740800,2015,2015-11-28
2600000,2015,2015-11-24
1400000,2015,2015-11-18
8600000,2015,2015-11-17
12700000,2015,2015-11-17
5000000,2015,2015-11-10
1800000,2015,2015-10-28
1600000,2015,2015-10-15
1150000,2015,2015-10-15
1500000,2015,2015-10-13
1700000,2015,2015-09-30
1900000,2015,2015-09-30
17000000,2015,2015-09-16
6000000,2015,2015-09-15
5500000,2015,2015-09-15
420000000,2015,2015-09-15
40000000,2015,2015-09-15
11000000,2015,2015-08-28
3600000,2015,2015-08-28
7200000,2015,2015-08-28
194000000,2015,2015-08-18
1900000,2015,2015-08-18
1700000,2015,2015-08-18
2300000,2015,2015-08-18
1500000,2015,2015-07-22
860000000,2015,2015-07-14
5600000,2015,2015-07-07
1700000,2015,2015-06-29
2200000,2015,2015-06-29
110000000,2015,2015-06-16
8300000,2015,2015-06-16
1600000,2015,2015-06-10
1500000,2015,2015-05-14
8500000,2015,2015-05-06
10000000,2015,2015-05-06
1800000,2015,2015-05-06
1700000,2015,2015-05-06
12200000,2015,2015-04-29
28500000,2015,2015-04-29
9500000,2015,2015-04-21
1900000,2015,2015-04-21
1500000,2015,2015-04-21
1500000,2015,2015-04-21
2250000,2015,2015-04-15
1500000,2015,2015-04-07
1600000,2015,2015-04-07
6400000,2015,2015-03-18
180000000,2015,2015-03-10
24000000,2015,2015-03-10
270000000,2015,2015-03-10
135000000,2015,2015-03-09
140000000,2015,2015-03-09
1500000,2015,2015-02-16
1500000,2015,2015-02-04
2100000,2015,2015-02-04
1500000,2015,2015-02-03
3100000,2015,2015-02-03
2000000,2015,2015-01-20
2400000,2015,2015-01-20
8500000,2015,2015-01-20
3800000,2015,2015-01-20
2600000,2015,2015-01-20
450000000,2014,2014-12-17
4000000,2014,2014-12-17
25000000,2014,2014-12-16
1800000,2014,2014-12-09
1600000,2014,2014-12-02
1400000,2014,2014-11-26
3200000,2014,2014-11-17
2200000,2014,2014-11-17
4000000,2014,2014-11-17
1900000,2014,2014-11-17
