,place,count
,Museum DAH,5
25,Seoul Museum - 서울 미술관 석파정,21
37,국립현대미술관 서울관,11
39,그라운드시소 서촌,5
40,그라운드시소 성수,10
45,동대문디자인플라자 DDP,6
46,뚝섬 미술관,4
47,롯데뮤지엄,4
86,플라워바이네이키드,4
87,피크닉 Piknic,4
